               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025123,            0.011319,           0.0031529,             0.92933,             0.89094,             0.92225,             0.53103,            0.033954,           0.0091542,           0.0050141,             0.00307,             0.00307,             0.00307
                  37,            0.024921,            0.011046,           0.0031305,             0.91653,             0.89359,             0.91631,             0.53294,            0.033838,           0.0092624,           0.0054091,            0.002872,            0.002872,            0.002872
                  38,            0.024424,            0.010872,           0.0029393,             0.93031,             0.88495,              0.9177,             0.53005,            0.033921,           0.0092473,           0.0050495,            0.002674,            0.002674,            0.002674
                  39,            0.024226,            0.010874,           0.0028801,             0.93448,             0.87902,             0.91981,              0.5326,            0.033888,           0.0092172,           0.0049547,            0.002476,            0.002476,            0.002476
                  40,            0.023792,            0.010748,           0.0028824,             0.93325,             0.88881,             0.92025,             0.53183,            0.033629,           0.0093352,           0.0049348,            0.002278,            0.002278,            0.002278
                  41,            0.023622,             0.01067,            0.002838,              0.9278,             0.88602,             0.91244,             0.53458,            0.033609,           0.0093115,           0.0050013,             0.00208,             0.00208,             0.00208
                  42,            0.023318,            0.010693,           0.0027703,             0.92494,             0.88781,             0.91436,             0.53497,            0.033852,            0.009387,           0.0048912,            0.001882,            0.001882,            0.001882
                  43,            0.023194,            0.010556,            0.002811,             0.92961,              0.9003,             0.92781,             0.53878,            0.033837,           0.0094512,           0.0049258,            0.001684,            0.001684,            0.001684
                  44,            0.022852,            0.010455,           0.0027409,               0.921,             0.88439,             0.91414,             0.53353,            0.034025,           0.0096292,           0.0050242,            0.001486,            0.001486,            0.001486
                  45,            0.022709,            0.010425,           0.0027376,              0.9328,              0.8768,             0.91338,             0.53804,            0.033971,           0.0096166,           0.0049431,            0.001288,            0.001288,            0.001288
                  46,            0.022416,            0.010317,           0.0027788,             0.92972,             0.87494,             0.91072,             0.53491,            0.033741,           0.0095664,           0.0051756,             0.00109,             0.00109,             0.00109
                  47,            0.021927,            0.010042,           0.0027232,             0.92887,             0.88717,             0.91882,             0.53611,            0.033816,           0.0097216,           0.0051354,            0.000892,            0.000892,            0.000892
                  48,            0.021911,            0.010039,           0.0026117,             0.93518,             0.88179,             0.91747,             0.54101,            0.033629,           0.0096781,           0.0051829,            0.000694,            0.000694,            0.000694
                  49,            0.021682,            0.010117,            0.002612,             0.93147,             0.88339,              0.9144,             0.54132,            0.033768,            0.009745,           0.0051297,            0.000496,            0.000496,            0.000496
