               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021607,           0.0097938,            0.002847,             0.99119,             0.98637,             0.99345,             0.81768,              0.0154,           0.0045141,          0.00089312,             0.00307,             0.00307,             0.00307
                  37,            0.021027,           0.0096566,            0.002681,             0.99072,             0.98631,             0.99356,             0.82162,             0.01518,           0.0044617,          0.00086769,            0.002872,            0.002872,            0.002872
                  38,            0.020816,            0.009555,           0.0027122,             0.99122,             0.98752,             0.99412,             0.82599,            0.014814,            0.004362,          0.00085776,            0.002674,            0.002674,            0.002674
                  39,            0.020533,           0.0094443,           0.0026608,             0.99134,             0.98805,             0.99425,             0.82843,              0.0146,           0.0043423,          0.00084061,            0.002476,            0.002476,            0.002476
                  40,            0.020208,           0.0093101,            0.002539,             0.99182,             0.98831,             0.99418,             0.83447,            0.014249,           0.0042705,          0.00082906,            0.002278,            0.002278,            0.002278
                  41,            0.020083,           0.0091024,           0.0025751,             0.99235,             0.98904,             0.99414,             0.83752,            0.014041,           0.0042061,          0.00082437,             0.00208,             0.00208,             0.00208
                  42,            0.019747,           0.0091541,            0.002572,             0.99221,             0.98933,             0.99434,             0.83941,             0.01397,           0.0041674,          0.00080859,            0.001882,            0.001882,            0.001882
                  43,            0.019451,           0.0089965,           0.0024795,             0.99296,              0.9883,             0.99416,             0.84315,            0.013707,           0.0041115,          0.00080523,            0.001684,            0.001684,            0.001684
                  44,            0.019055,           0.0088877,            0.002423,              0.9931,             0.98728,             0.99417,             0.84752,            0.013448,           0.0040499,          0.00078305,            0.001486,            0.001486,            0.001486
                  45,             0.01876,           0.0087085,           0.0023561,             0.99347,              0.9879,             0.99431,              0.8514,            0.013241,           0.0039882,          0.00078407,            0.001288,            0.001288,            0.001288
                  46,            0.018525,           0.0086074,           0.0024343,             0.99329,             0.98872,             0.99433,             0.85501,            0.013025,           0.0039456,          0.00077348,             0.00109,             0.00109,             0.00109
                  47,            0.018221,           0.0085877,           0.0023817,             0.99282,              0.9892,             0.99438,             0.85721,            0.012943,             0.00394,          0.00076623,            0.000892,            0.000892,            0.000892
                  48,            0.017959,           0.0084763,           0.0023614,             0.99398,             0.98878,             0.99441,             0.86089,            0.012731,           0.0038997,          0.00074973,            0.000694,            0.000694,            0.000694
                  49,            0.017758,           0.0082943,           0.0023043,             0.99406,             0.98891,              0.9944,             0.86161,            0.012685,           0.0038723,          0.00073982,            0.000496,            0.000496,            0.000496
