               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.042909,            0.010743,           0.0060907,             0.88235,             0.75674,             0.81636,             0.49168,            0.034118,            0.016172,            0.010039,            0.002872,            0.002872,            0.002872
                  38,            0.042386,             0.01119,           0.0061895,             0.88526,             0.73984,             0.82157,             0.49974,            0.035349,            0.016527,            0.012717,            0.002674,            0.002674,            0.002674
                  39,            0.042294,            0.010789,           0.0061235,             0.82811,             0.76953,             0.81264,             0.47888,            0.035253,            0.015736,            0.016246,            0.002476,            0.002476,            0.002476
                  40,            0.041484,            0.010671,           0.0056048,             0.87065,              0.7705,             0.81071,             0.50789,            0.033359,            0.016523,            0.012574,            0.002278,            0.002278,            0.002278
                  41,            0.041318,            0.010411,           0.0054886,             0.88798,             0.75265,             0.81498,             0.49357,            0.034571,            0.016197,            0.012173,             0.00208,             0.00208,             0.00208
                  42,            0.041284,            0.010526,           0.0058659,             0.87202,              0.7586,              0.8062,             0.45861,            0.035623,            0.016531,            0.013346,            0.001882,            0.001882,            0.001882
                  43,            0.040479,            0.010591,           0.0055192,              0.8226,              0.7585,              0.8051,             0.48721,            0.034312,            0.016035,            0.013679,            0.001684,            0.001684,            0.001684
                  44,            0.040262,           0.0097765,           0.0055222,              0.8439,             0.73736,             0.78321,             0.48454,             0.03349,            0.016481,             0.01511,            0.001486,            0.001486,            0.001486
                  45,            0.040141,            0.010228,           0.0058189,             0.88419,             0.76449,             0.80692,              0.5066,            0.035034,            0.016211,            0.013105,            0.001288,            0.001288,            0.001288
                  46,            0.040357,            0.010514,           0.0055001,             0.85936,             0.74878,             0.80002,             0.50116,            0.034009,            0.016295,            0.015032,             0.00109,             0.00109,             0.00109
                  47,            0.039549,            0.010434,           0.0049968,             0.83627,             0.75793,             0.80394,              0.4993,            0.034261,            0.016671,            0.015319,            0.000892,            0.000892,            0.000892
                  48,            0.039677,            0.010024,           0.0053556,             0.86374,             0.75463,             0.81534,             0.49818,            0.033462,            0.016079,            0.013652,            0.000694,            0.000694,            0.000694
                  49,            0.038479,           0.0099835,           0.0054659,             0.84328,              0.7586,             0.80154,             0.50556,            0.033367,            0.015858,            0.014407,            0.000496,            0.000496,            0.000496
